"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSMUSG00000102693.2.4933401J01Rik"
"11812",923.960366435452,0.291898656135953,0.169677291529591,1.720316569793,0.0853749131029031,0.157744703965327,"ENSMUSG00000083128.2	Gm12723"
"11813",461.288637091877,0.26650088012688,0.173179020797576,1.53887508371112,0.123834795067829,0.214467136822509,"ENSMUSG00000082061.2	Gm12726"
"11814",5.64652332340173,-0.215414875026015,1.09988886566712,-0.195851491682624,0.844726405897266,0.90021507267179,"ENSMUSG00000083780.10	Gm12728"
"11815",91.3543831268754,-0.547655212060629,0.349552960035301,-1.5667302946178,0.117177746506377,0.205226067016508,"ENSMUSG00002075274.1	Gm54744"
"11816",168.994974036815,-1.16590021559612,0.282510001930251,-4.12693429482177,3.67631376758481e-05,0.000151337824420209,"ENSMUSG00000085790.2	Gm12729"
"11817",253.526358340547,1.91079275421818,0.238240936680992,8.02042159856332,1.05382832538468e-15,1.37678895314081e-14,"ENSMUSG00000082768.2	Gm12727"
"11818",756.591817630142,0.623198264821797,0.175950371914137,3.54189796839938,0.000397259103909589,0.00134981192385727,"ENSMUSG00000087933.3	Gm26047"
"11819",612.001836013801,0.037000981580089,0.176109709273494,0.210101883267704,0.833588155650549,0.892883041379092,"ENSMUSG00002076517.1	Gm26047"
"11820",238.110816455394,0.495236105040143,0.21405338600611,2.3136102365884,0.0206891116695632,0.0470653442171037,"ENSMUSG00000081189.2	Hspd1-ps4"
"11821",10.2910983645039,-2.22140256452433,0.8648186028009,-2.5686341127837,0.0102100196115653,0.0253813098672211,"ENSMUSG00000086249.2	Gm12724"
"11822",182.380923302989,-0.604495023291062,0.229301315375555,-2.63624751694515,0.00838285589795834,0.0213290471239574,"ENSMUSG00000082958.2	Gm12731"
"11823",323.57396957162,-0.0334897645142565,0.185766995039607,-0.180278334733875,0.856934063382855,0.909009037134652,"ENSMUSG00000087051.2	Gm12730"
"11824",257.100726713111,0.195816052906158,0.198208167660305,0.987931300801657,0.323186294666355,0.455545760274607,"ENSMUSG00000104192.2	Gm37253"
"11825",693.734654538057,1.7410059707447,0.170567047046429,10.2071648708956,1.84167505673313e-24,4.45802295479052e-23,"ENSMUSG00000120027.1	Gm57071"
"11826",194.682847007333,-1.02646083904304,0.255064502297421,-4.02431867154184,5.71405006933223e-05,0.000227409703233804,"ENSMUSG00000028514.16	Usp24"
